Time,k,d,n_init,max_iter,seed,n_folds,total_correct,out_of,percent_correct,train_score_T,train_score_B,avg_correct_T,avg_correct_B,model,infolder,result_folder,
Fri Apr 13 07:15:26 2018,5,5,5,400,4444,5,77,151,50.98924731,-29805.21675,-21706.46658,2.666666667,98.66666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152359505666,0.669503546
Fri Apr 13 08:26:46 2018,6,5,5,400,3333,5,84,151,55.74193548,12230.12893,14757.19164,50.66666667,61,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/15235653630,0.564721444
Fri Apr 13 09:53:07 2018,5,5,5,400,4444,5,87,151,57.59139785,4118.121503,4371.756382,52,63.33333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152360769133,0.594961775
Fri Apr 13 11:18:52 2018,6,25,5,400,4444,5,81,151,53.59139785,-107556.3908,-120478.5894,68,39.16666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152361840488,0.445321058
Fri Apr 13 12:24:52 2018,6,5,5,400,4444,5,88,151,58.30107527,-23554.27473,-21202.68702,57.33333333,59.25,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152361184658,0.590422078
Fri Apr 13 13:02:12 2018,6,25,5,400,4444,5,79,151,52.25806452,-84442.37133,-95536.64571,57.33333333,47.08333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152362763417,0.492345255
Fri Apr 13 13:34:39 2018,6,5,5,400,4444,5,96,151,63.65591398,11562.6191,14762.55682,58.66666667,68.66666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152362276763,0.656279672
Fri Apr 13 14:56:03 2018,4,5,5,400,5555,5,98,151,64.94623656,-28816.77777,-29746.97249,65.33333333,64.66666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152363275932,0.649434163
Fri Apr 13 15:49:20 2018,4,25,5,400,5555,5,83,151,54.92473118,-110170.2654,-123447.262,56,53.66666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152364559186,0.531481481
Fri Apr 13 17:15:02 2018,4,5,5,400,5555,5,71,151,46.98924731,-10508.20137,-10333.69001,44,50,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152364559314,0.484891193
